Party,Won,Leading,Total
All India Anna Dravida Munnetra Kazhagam,36,33,69
Bharatiya Janata Party,3,1,4
Communist Party of India,1,1,2
Communist Party of India (Marxist),1,1,2
Dravida Munnetra Kazhagam,83,48,131
Indian National Congress,8,9,17
Pattali Makkal Katchi,2,3,5
Viduthalai Chiruthaigal Katchi,3,1,4
232,234,243,0
