Party,Won,Leading,Total
All India N.R. Congress,10,0,10
Bharatiya Janata Party,6,0,6
Dravida Munnetra Kazhagam,6,0,6
Independent,6,0,6
Indian National Congress,2,0,2
232,234,243,0
