Party,Won,Leading,Total
AJSU Party,0,1,1
Bharatiya Janata Party,3,77,80
Independent,0,1,1
All India Trinamool Congress,208,5,213
Bharatiya Janata Party,75,2,77
Independent,1,0,1
Rashtriya Secular Majlis Party,1,0,1
232,234,243,0
