Party,Won,Leading,Total
All India United Democratic Front,14,2,16
Asom Gana Parishad,9,0,9
Bharatiya Janata Party,55,5,60
Bodoland Peoples Front,4,0,4
Communist Party of India (Marxist),1,0,1
Independent,1,0,1
Indian National Congress,28,1,29
United People Party,Liberal,6,0,6
232,234,243,0
